Entity,Code,Year,Annual Working Hours
United States,USA,1870,3096
United States,USA,1880,3044
United States,USA,1890,2983
United States,USA,1900,2938
United States,USA,1913,2900
United States,USA,1929,2316
United States,USA,1938,1756
United States,USA,1950,1989.238
United States,USA,1951,2030.5599
United States,USA,1952,2026.7347
United States,USA,1953,2020.25
United States,USA,1954,1997.0837
United States,USA,1955,2004.5018
United States,USA,1956,1989.365
United States,USA,1957,1961.5238
United States,USA,1958,1927.5476
United States,USA,1959,1952.8529
United States,USA,1960,1934.2875
United States,USA,1961,1919.7972
United States,USA,1962,1939.2451
United States,USA,1963,1927.4596
United States,USA,1964,1933.1255
United States,USA,1965,1952.99
United States,USA,1966,1961.7112
United States,USA,1967,1938.9489
United States,USA,1968,1935.2845
United States,USA,1969,1935.9679
United States,USA,1970,1891.412
United States,USA,1971,1875.6472
United States,USA,1972,1873.3199
United States,USA,1973,1871.6733
United States,USA,1974,1843.8124
United States,USA,1975,1812.4165
United States,USA,1976,1808.4502
United States,USA,1977,1808.5083
United States,USA,1978,1814.8193
United States,USA,1979,1817.1194
United States,USA,1980,1801.3328
United States,USA,1981,1788.8071
United States,USA,1982,1771.0435
United States,USA,1983,1779.0808
United States,USA,1984,1794.722
United States,USA,1985,1800.7004
United States,USA,1986,1780.5117
United States,USA,1987,1787.9778
United States,USA,1988,1797.7433
United States,USA,1989,1809.9222
United States,USA,1990,1795.5515
United States,USA,1991,1787.2532
United States,USA,1992,1775.0881
United States,USA,1993,1790.0741
United States,USA,1994,1807.9658
United States,USA,1995,1817.5757
United States,USA,1996,1823.6223
United States,USA,1997,1828.6818
United States,USA,1998,1839.5144
United States,USA,1999,1841.6412
United States,USA,2000,1844.9187
United States,USA,2001,1823.8229
United States,USA,2002,1806.9037
United States,USA,2003,1791.0933
United States,USA,2004,1789.9679
United States,USA,2005,1787.311
United States,USA,2006,1787.5776
United States,USA,2007,1786.0842
United States,USA,2008,1767.0127
United States,USA,2009,1729.9553
United States,USA,2010,1736.095
United States,USA,2011,1745.0492
United States,USA,2012,1745.438
United States,USA,2013,1750.0786
United States,USA,2014,1754.4224
United States,USA,2015,1765.1826
United States,USA,2016,1760.796
United States,USA,2017,1757.2255
